Temperature,Humidity,pm2_5,CO
32.437,NA,11.74,
33.851,NA,11.25,
41.215,NA,10.91,
32.438,NA,11.07,
32.983,NA,11.09,
35.963,NA,10.27,
36.11,NA,16.66,
40.263,NA,20.67,
34.376,NA,18.56,
32.986,NA,10.15,
32.683,NA,7.8,
34.326,NA,12.23,
38.449,NA,9.38,
32.714,NA,9.03,
32.316,NA,6.95,
31.209,NA,7.04,
40.263,NA,7.31,
32.986,NA,11.05,
34.326,NA,18.84,
32.316,NA,19.66,
32.683,NA,29.49,
32.714,NA,26.06,
31.209,NA,16.39,
34.376,NA,12.95,
38.449,NA,11.74,
40.263,NA,10.97,
32.683,NA,7.51,
32.986,NA,,
34.326,NA,,
32.714,NA,,
38.449,NA,,
34.376,NA,,
31.209,NA,,
32.316,NA,,
40.263,NA,,
34.376,NA,,
38.449,NA,,
32.986,NA,,
32.683,NA,,
32.714,NA,,
31.209,NA,,
32.316,NA,,
34.326,NA,,
31.21,NA,,
33.737,NA,,
32.671,NA,,
35.313,NA,,
29.432,NA,,
35.057,NA,,
35.654,NA,,
42.057,NA,,
34.665,NA,,
31.21,NA,,
35.654,NA,,
34.665,NA,,
33.737,NA,,
42.057,NA,,
32.671,NA,,
35.057,NA,,
35.313,NA,,
29.432,NA,,
32.671,NA,,
42.057,NA,,
33.737,NA,,
35.057,NA,,
31.21,NA,,
29.432,NA,,
35.313,NA,,
34.665,NA,,
35.654,NA,,
42.057,NA,,
35.057,NA,,
35.313,NA,,
31.21,NA,,
32.671,NA,,
34.665,NA,,
29.432,NA,,
35.654,NA,,
33.737,NA,,
29.107,NA,,
35.988,NA,,
36.878,NA,,
34.785,NA,,
42.286,NA,,
34.437,NA,,
35.758,NA,,
35.377,NA,,
27.097,NA,,
42.286,NA,,
34.437,NA,,
29.107,NA,,
35.988,NA,,
34.785,NA,,
35.377,NA,,
36.878,NA,,
35.758,NA,,
27.097,NA,,
36.878,NA,,
42.286,NA,,
29.107,NA,,
35.988,NA,,
34.437,NA,,
27.097,NA,,
34.785,NA,,
35.377,NA,,
35.758,NA,,
35.377,NA,,
35.758,NA,,
35.988,NA,,
42.286,NA,,
34.437,NA,,
36.878,NA,,
34.785,NA,,
29.107,NA,,
27.097,NA,,
40.901,NA,,
38.252,NA,,
35.152,NA,,
34.437,NA,,
28.058,NA,,
27.853,NA,,
37.745,NA,,
38.32,NA,,
36.734,NA,,
40.901,NA,,
37.745,NA,,
34.437,NA,,
35.152,NA,,
38.32,NA,,
38.292,NA,,
28.058,NA,,
27.853,NA,,
36.734,NA,,
40.901,NA,,
35.152,NA,,
37.745,NA,,
38.32,NA,,
34.437,NA,,
36.734,NA,,
28.058,NA,,
38.292,NA,,
27.853,NA,,
34.437,NA,,
35.152,NA,,
37.745,NA,,
38.32,NA,,
28.058,NA,,
38.292,NA,,
36.734,NA,,
27.853,NA,,
37.867,NA,,
40.359,NA,,
36.025,NA,,
28.803,NA,,
37.663,NA,,
38.9,NA,,
38.642,NA,,
29.386,NA,,
33.338,NA,,
36.025,NA,,
37.867,NA,,
40.359,NA,,
38.9,NA,,
37.663,NA,,
29.386,NA,,
33.338,NA,,
38.642,NA,,
28.803,NA,,
40.359,NA,,
40.407,NA,,
37.867,NA,,
28.803,NA,,
36.025,NA,,
37.663,NA,,
38.9,NA,,
38.642,NA,,
29.386,NA,,
33.338,NA,,
37.395,NA,,
31.227,NA,,
38.396,NA,,
33.297,NA,,
37.98,NA,,
39.261,NA,,
30.55,NA,,
39.242,NA,,
40.407,NA,,
37.395,NA,,
39.261,NA,,
38.396,NA,,
33.297,NA,,
30.55,NA,,
31.227,NA,,
39.242,NA,,
37.395,NA,,
38.396,NA,,
37.98,NA,,
40.407,NA,,
33.297,NA,,
39.261,NA,,
39.242,NA,,
37.98,NA,,
37.395,NA,,
40.407,NA,,
37.98,NA,,
39.242,NA,,
31.227,NA,,
39.261,NA,,
30.55,NA,,
38.396,NA,,
33.297,NA,,
39.595,NA,,
37.47,NA,,
36.596,NA,,
39.415,NA,,
40.839,NA,,
38.065,NA,,
31.268,NA,,
39.846,NA,,
31.598,NA,,
39.595,NA,,
37.47,NA,,
39.415,NA,,
31.268,NA,,
31.598,NA,,
36.596,NA,,
40.839,NA,,
39.846,NA,,
38.065,NA,,
38.065,NA,,
31.268,NA,,
39.595,NA,,
39.415,NA,,
37.47,NA,,
31.598,NA,,
36.596,NA,,
39.846,NA,,
40.839,NA,,
39.415,NA,,
36.596,NA,,
39.846,NA,,
31.598,NA,,
40.839,NA,,
38.065,NA,,
31.268,NA,,
37.47,NA,,
39.595,NA,,
40.974,NA,,
38.899,NA,,
43.475,NA,,
39.958,NA,,
30.879,NA,,
42.045,NA,,
32.206,NA,,
40.652,NA,,
30.837,NA,,
32.206,NA,,
39.958,NA,,
42.045,NA,,
30.837,NA,,
38.899,NA,,
40.652,NA,,
40.974,NA,,
30.879,NA,,
42.045,NA,,
30.837,NA,,
40.652,NA,,
30.879,NA,,
32.206,NA,,
39.958,NA,,
40.974,NA,,
38.899,NA,,
43.475,NA,,
39.958,NA,,
30.879,NA,,
40.652,NA,,
43.475,NA,,
32.206,NA,,
30.837,NA,,
42.045,NA,,
38.899,NA,,
42.908,NA,,
37.269,NA,,
35.814,NA,,
31.309,NA,,
30.063,NA,,
38.014,NA,,
35.41,NA,,
37.269,NA,,
25.804,NA,,
36.577,NA,,
42.908,NA,,
42.908,NA,,
35.814,NA,,
35.41,NA,,
31.163,NA,,
31.213,NA,,
27.468,NA,,
26.433,NA,,
22.364,NA,,
36.791,NA,,
25.574,NA,,
25.964,NA,,
26.433,NA,,
31.163,NA,,
25.804,NA,,
36.791,NA,,
31.213,NA,,
27.468,NA,,
25.964,NA,,
25.574,NA,,
22.364,NA,,
25.804,NA,,
31.213,NA,,
31.163,NA,,
25.574,NA,,
27.468,NA,,
25.964,NA,,
22.364,NA,,
26.433,NA,,
36.791,NA,,
25.574,NA,,
31.163,NA,,
31.213,NA,,
25.804,NA,,
26.433,NA,,
27.468,NA,,
25.964,NA,,
36.791,NA,,
22.364,NA,,
19.625,NA,,
21.192,NA,,
22.063,NA,,
22.77,NA,,
25.425,NA,,
18.988,NA,,
23.798,NA,,
17.731,NA,,
23.798,NA,,
19.625,NA,,
23.105,NA,,
21.192,NA,,
22.77,NA,,
25.425,NA,,
18.988,NA,,
17.745,NA,,
22.063,NA,,
19.625,NA,,
21.192,NA,,
18.988,NA,,
17.745,NA,,
22.063,NA,,
23.798,NA,,
22.77,NA,,
23.105,NA,,
25.425,NA,,
21.202,NA,,
20.798,NA,,
18.16,NA,,
18.116,NA,,
21.628,NA,,
20.519,NA,,
17.738,NA,,
18.16,NA,,
18.116,NA,,
20.894,NA,,
21.202,NA,,
21.248,NA,,
17.738,NA,,
21.628,NA,,
20.798,NA,,
20.519,NA,,
18.116,NA,,
18.16,NA,,
21.202,NA,,
20.798,NA,,
20.894,NA,,
21.248,NA,,
21.628,NA,,
20.519,NA,,
17.738,NA,,
21.248,NA,175.81,
20.798,NA,104.94,
19.681,NA,70.84,
17.948,NA,71.28,
20.003,NA,55.17,
18.016,NA,,
32.326,NA,3.96,
19.98,NA,,
19.527,NA,,
20.008,NA,24.81,
17.6,NA,16.58,
19.681,NA,17.91,
19.98,NA,36.74,
17.948,NA,42.99,
18.016,NA,62.88,
20.008,NA,38.8,
17.6,NA,48.64,
19.527,NA,51.7,
20.003,NA,47.15,
19.681,NA,98.33,
20.008,NA,118.02,
19.527,NA,45.88,
20.003,NA,5.06,
17.948,NA,5.85,
17.6,NA,6.11,
18.016,NA,10.23,
19.98,NA,6.84,
18.125,NA,15.17,
16.899,NA,15.07,
17.513,NA,24,
18.564,NA,45.76,
18.913,NA,37.88,
18.412,NA,55.69,
18.567,NA,69.71,
16.402,NA,55.08,
18.412,NA,14.63,
17.513,NA,40.22,
18.125,NA,30.39,
18.567,NA,6.14,
18.564,NA,5.49,
16.899,NA,5.78,
16.402,NA,5.9,
18.913,NA,5.46,
18.125,NA,7.19,
16.899,NA,5.58,
16.402,NA,5.9,
18.567,NA,26.28,
18.564,NA,28.06,
18.412,NA,15.98,
17.513,NA,20.79,
18.913,NA,11.42,
19.267,NA,7.54,
16.899,NA,6.33,
18.125,NA,5.7,
19.267,NA,7.16,
18.412,NA,17.88,
16.402,NA,8.72,
18.564,NA,7.78,
18.567,NA,5.95,
18.913,NA,25.81,
15.695,NA,19.89,
18.336,NA,29.6,
17.034,NA,15.17,
17.28,NA,26.95,
16.129,NA,43.47,
17.763,NA,30.55,
16.583,NA,14.9,
15.318,NA,6.85,
17.28,NA,7.58,
16.129,NA,9.26,
15.695,NA,13.87,
17.034,NA,19.42,
18.336,NA,25.96,
15.318,NA,31.55,
17.763,NA,23.19,
16.583,NA,8.91,
17.087,NA,5.86,
16.129,NA,16.31,
17.28,NA,44.57,
15.695,NA,30.4,
16.583,NA,20.58,
18.336,NA,22.69,
17.763,NA,14.34,
17.034,NA,44.01,
15.318,NA,29.54,
17.087,NA,32.42,
17.034,NA,65.07,
15.695,NA,52.45,
17.28,NA,30.7,
15.318,NA,9.92,
17.087,NA,29.44,
16.583,NA,52.63,
16.129,NA,89.57,
18.336,NA,52.92,
17.763,NA,15.17,
16.504,NA,35.38,
18.225,NA,65.27,
18.568,NA,83.78,
16.064,NA,42.54,
15.84,NA,94,
17.364,NA,15.14,
17.102,NA,73.16,
18.753,NA,71.48,
17.711,NA,49.85,
18.225,NA,25.46,
16.504,NA,27.03,
16.064,NA,48.11,
18.568,NA,108.99,
18.753,NA,124.01,
17.711,NA,20.33,
17.102,NA,28.93,
15.84,NA,10.31,
17.364,NA,6.17,
21.454,NA,32.36,
20.062,NA,36.67,
20.993,NA,47.49,
20.515,NA,108.73,
20.043,NA,132.47,
22.484,NA,74.41,
19.904,NA,66.96,
21.282,NA,92.86,
23.361,NA,134.85,
21.454,NA,,
20.062,NA,27.81,
20.043,NA,30.05,
22.484,NA,35.02,
20.515,NA,18.78,
21.454,NA,8.51,
21.282,NA,4.52,
19.904,NA,13.79,
20.993,NA,25.68,
23.361,NA,22.14,
20.043,NA,52.23,
20.515,NA,10.58,
21.282,NA,46.93,
22.484,NA,41.3,
20.062,NA,52.37,
20.993,NA,31.48,
19.904,NA,51.41,
23.361,NA,70.03,
23.136,NA,17.12,
22.89,NA,37.72,
21.567,NA,80.75,
23.146,NA,54.16,
24.527,NA,45.17,
23.797,NA,17.14,
22.793,NA,14.93,
25.55,NA,15.35,
23.136,NA,9.58,
21.567,NA,30.04,
24.527,NA,39.51,
23.091,NA,30.62,
22.89,NA,42.25,
25.55,NA,63.29,
23.797,NA,13.28,
23.146,NA,61.15,
22.793,NA,51.8,
21.567,NA,14.95,
23.136,NA,44.37,
23.146,NA,22.81,
23.797,NA,10.93,
24.527,NA,21.11,
23.091,NA,40.3,
22.89,NA,5.88,
25.55,NA,15.24,
22.793,NA,19.45,
22.455,NA,20.11,
25.824,NA,30.88,
22.323,NA,18.14,
20.623,NA,16.35,
25.069,NA,22.52,
25.799,NA,26.61,
23.748,NA,23.17,
24.789,NA,29.4,
24.634,NA,31.91,
25.824,NA,48.77,
23.748,NA,12.2,
22.455,NA,7.93,
22.323,NA,4.96,
24.634,NA,20.3,
25.799,NA,25.34,
20.623,NA,47.44,
24.789,NA,42.76,
25.824,NA,9.84,
23.748,NA,25.37,
22.455,NA,10.39,
22.323,NA,7.15,
20.623,NA,16.93,
25.799,NA,13.88,
24.789,NA,10.7,
25.069,NA,14.21,
24.634,NA,8.66,
25.824,NA,15.63,
20.623,NA,13.95,
22.455,NA,7.56,
23.748,NA,9.59,
25.799,NA,10.25,
25.069,NA,26.72,
24.634,NA,8.33,
24.789,NA,7.28,
22.323,NA,13.86,
24.344,NA,8.51,
31.963,NA,7.07,
23.504,NA,9.88,
24.902,NA,6.91,
27.681,NA,6.67,
27.983,NA,7.69,
26.098,NA,8.89,
23.109,NA,8.58,
26.156,NA,6.96,
23.504,NA,10.41,
26.098,NA,10.37,
26.156,NA,20.03,
24.344,NA,22.86,
31.963,NA,10.46,
24.902,NA,18.18,
23.109,NA,25.24,
27.983,NA,17.41,
27.681,NA,14.05,
23.109,NA,18.21,
31.963,NA,15.82,
24.344,NA,14.35,
24.902,NA,9.53,
23.504,NA,13.48,
26.098,NA,11.58,
26.156,NA,10.18,
27.983,NA,13.06,
27.681,NA,13.97,
26.373,NA,16.31,
36.855,NA,24.41,
27.846,NA,35.49,
31.606,NA,39.53,
31.681,NA,43.78,
27.028,NA,43.3,
27.383,NA,38,
28.584,NA,41.38,
25.335,NA,39.11,
27.028,NA,29.34,
31.606,NA,35.38,
36.855,NA,33.35,
25.335,NA,38.95,
27.846,NA,35.54,
28.584,NA,65.72,
27.383,NA,44.96,
26.373,NA,40.63,
31.681,NA,37.69,
31.681,NA,25.63,
27.846,NA,26.44,
27.383,NA,21.89,
27.028,NA,19.06,
28.584,NA,21.07,
26.373,NA,25.53,
36.855,NA,27.2,
31.606,NA,34.33,
25.335,NA,29.58,
36.855,NA,17.35,
28.584,NA,17.08,
27.383,NA,19.87,
25.335,NA,24.72,
